centre_place_id,centre_name,sports
ChIJGbxxaamUyRIRgGvhHnhJStA,"Monclub Futbol",soccer
ChIJGfUohl5u80cRkNdhfgbvDA0,"Footsall Omnisports Mâcon",soccer
ChIJHT4IIT8YyRIREI_EDEAf9gE,"Goal In d'Or La Farlède",soccer
ChIJHeG9fA4X5kcRbGNzVY5Ud5I,"OHSPORT",soccer
ChIJI2JYMoa42YgRP0sx16u-fRo,"Soccer 5 Tropical Park",soccer
ChIJIRUjAre-2YgRw_lDJcG3dD8,"Soccer City Miami",soccer
ChIJJWIca-qvthIRHxcGJpAq4kA,"Insport Montpellier - Près d'arènes",soccer
ChIJJXOtQ3d5CEgR5gqmLBWjkK4,"Angers SCO Footsal",soccer
ChIJJazitpdJ5kcRIN9wK_jwKUY,"FOOTMAX Saint-Maximin",soccer
ChIJJdTQjr0T5kcRZmGxtIJVy44,"LE FIVE Montreuil",soccer
ChIJK88_lR9wsBIRvGy5h9RQAaQ,"Stadium FIVE Center Perpignan",soccer
ChIJKb-U_9KSyRIRKIFKbH5mW18,"Z5 Aix",soccer
ChIJKcIlfy4-sRIRQpnxhc225GU,"Player 5M Bessan",soccer
ChIJM91frs_gyRIR0DmRNXYM0hc,"Olive et Tom Foot",soccer
ChIJMU8gErUJ5kcRSnpvacKwFtM,"LE PARK Servon",soccer
ChIJMYDG2oxr2hIR2VIfssGUycU,"Fun Foot Ajaccio",soccer
ChIJMZT87I2ggiERx46yqMI-es4,"LE FIVE Saint-Louis La Réunion",soccer
ChIJM_sC0-Nk5kcRhL1y_EFIje8,"UrbanSoccer - Puteaux",soccer
ChIJN4l-IC3v9EcRf9QJKIVC_aY,"UrbanSoccer - Lyon Barolles",soccer
ChIJNSDvlsXryRIRUXao9hwB79I,"Game 13 foot indoor",soccer
ChIJN_Jhj3P9yRIRB_PmaXuccA0,"Sports and Play Lançon de Provence",soccer
ChIJNcDntQGO9EcR3CbXF7xfc5o,"Factory Sport Games",soccer
ChIJNcurQqBZwokRYDgoFu6QXCI,"Chelsea Piers",soccer
ChIJNx4uAWf4wokRSocDyrK32sk,"Sofive Meadowlands",soccer
ChIJO-ZGkm6NwokRH5LzBlNfsIQ,"Socceroof New Rochelle",soccer
ChIJPVT4_n1u5kcRzji6FdTBXXo,"LE FIVE Paris 18",soccer
ChIJPa2mELahtRIRikXKS6RPLqI,"7 & Match Mondragon",soccer
ChIJQ-UxZn-5rhIRKWoQydM5T9s,"Play Soccer",soccer
ChIJQ2LL-D3MwoAR6vKb3yEZvgk,"SOFIVE - SOUTHGATE",soccer
ChIJQVuGzPsvlUcRg6R0U-o5k9M,"Foot 5 Veymerange • FFF",soccer
ChIJR3ro5nTWwkcRfM_S3Be9HjI,"UrbanSoccer - Lille Lezennes",soccer
ChIJR62kUm_ByRIRDnGQqGCeUVQ,"Le 13 - Foot en salle - Marseille",soccer
ChIJRSG64gm4lkcRPQTZbn3M85Q,"KG5 Strasbourg-Mundolsheim",soccer
ChIJRaMGi5gN5EcR_sqZitCqLPY,"L'Arène Chartres",soccer
ChIJS5VW0FUnD0gRUd2xV2pEeKY,"UrbanSoccer Rennes Vern",soccer
ChIJSRmb-4bjwokRX7H7p_nGfn8,"Superdome Sports Waldwick",soccer
ChIJSSGxg-PUzRIRblID9ACQndc,"Stadium Antibes",soccer
ChIJT3z7m-Nh7UcRm7VB5bhK3d0,"UrbanSoccer - Dijon",soccer
ChIJTUFnQjps5kcR0pHITLTw1PI,"LE FIVE Villette",soccer
ChIJTZ1wTCnZVA0Ra5hHoMEPn3I,"UrbanSoccer Bordeaux-Pessac",soccer
ChIJTcHVp4S55kcRUD4Mh5Pro98,"Football 5 Club Rosny",soccer
ChIJUc4N5XYSrBIRidC7hrwrqJ0,"THE SOC5CER - Montauban",soccer
ChIJV4SAsGqP4kcRQZ1u_kOCHfc,"UrbanSoccer Le Mans",soccer
ChIJV8UONORs5kcRXxR5Qd7x130,"LE FIVE Bobigny",soccer
ChIJVRdtdwa3QIYRzwyM77_hWMk,"Soccertime",soccer
ChIJVVVVEU3TzRIRX9_gbFDSBj0,"UrbanSoccer - Villeneuve Loubet",soccer
ChIJVVVVVQnXDIgRLBG0gleJUeg,"Soccer Planet",soccer
ChIJVXFMq4ylthIRtrZPBHOMTAc,"UrbanSoccer - Montpellier",soccer
ChIJVc4JI-FtjEcRkBpWIDCVoII,"LE FIVE Annemasse",soccer
ChIJW0Ut1G7e5UcRt621n2fRQ5M,"UrbanSoccer Evry",soccer
ChIJW6IzlEUz-UcRIlyS1lolmbc,"UrbanSoccer - Limoges",soccer
ChIJWTYmoZwtw4ARhhKsGjxJqdg,"SOFIVE - POMONA",soccer
ChIJWbH3tXW6FkgRHdcPREqDrwA,"Soccer Center",soccer
ChIJX0YulIi8yRIRnGh62u3UXTQ,"Evolution Football",soccer
ChIJX6YWdrz1ikcRwdG7lUc49fg,"UrbanSoccer - Grenoble",soccer
ChIJX6tTCaTg4EcREj-uKrMtLMc,"Le Temple du Foot",soccer
ChIJX7pTGkosi0cR22J6MKLnxdw,"Champions Five",soccer
ChIJXQyb1d8pw0cRLO_Ed5xHTIQ,"Footsal Cousinerie",soccer
ChIJY-WkusIR5kcR-tEad3UtaSQ,"Footbox",soccer
ChIJYTdldJm1woAReOjW_rwNSkU,"LAB FIVE SOCCER - GARDENA",soccer
ChIJYVUE_J9bwokRuEBZfRYfobU,"Globall Sports Centers - Brooklyn",soccer
ChIJYwnTqjHXQIYRDyENYgvwCWo,"Houston Soccer Field",soccer
ChIJZ0Mj1s9_j4ARt4-u90l2X84,"SFF Soccer - Mission Bay Field",soccer
ChIJZ0zooD1-j4ARzVFrHova9O4,"Mission Playground Soccer Pitch",soccer
ChIJZ79NO6deEEgRVJrNAlg8mQs,"ARENA 18 Caudan",soccer
ChIJZdrYy1D-yRIRrrlLXLwuv5Y,"LE COMPLEXE Salon-de-Provence",soccer
ChIJZe5X38-p2YgR7V1S_g4R5X8,"Granada Indoor Soccer",soccer
ChIJZwtLpkDNQIYRyLJuiJ7U-qQ,"Maya Indoor Soccer",soccer
ChIJZziKe5cvVQ0R5tJa9BeDd8o,"Futbol Futbol Artigues",soccer
ChIJ_W2Q_SPV_EcRj3zLt_rpEw4,"THE FIVE Tours",soccer
ChIJ_____yNwBUgRSG7Jc1nxPmY,"LIGUA FIVE Saint-Brevin",soccer
ChIJ_bOSChhz5kcRZMTeq_6Gdzg,"LE FIVE Paris 13",soccer
ChIJ_wfNJBVdwokRoU3ZUxM4oTc,"Socceroof Crown Heights",soccer
ChIJa69uraDryRIRRlY7a07cUqU,"Le B3 Soccer",soccer
ChIJa7HS298pw0cRMoVDj0XqVdI,"Footsal",soccer
ChIJa9Anja27kUcRNXt6NgUDdmY,"LE FIVE Saint-Louis - Bâle",soccer
ChIJad8c0qR16UcRMPDMaa34XJ8,"LE FIVE Reims",soccer
ChIJadntBAbbQIYRlM2WxDsMz7I,"The Indoor Soccer Box",soccer
ChIJaeLKMYXe5UcRHyWJ8X8FaPA,"B14 - Sports et Loisirs Indoor",soccer
ChIJb1_Rbhn7wokRPcV_ZAeB8mE,"Superdome Sports Fairlawn",soccer
ChIJbbOWFtC4yRIR0WXVerbWmnE,"STADIUM FOOT 5 VILLAGE",soccer
ChIJbeF8CznIlkcRkTmqhGiUECc,"UrbanSoccer - Strasbourg",soccer
ChIJcTtBl5GNwokRUooEpetsCCc,"Socceroof New Rochelle",soccer
ChIJc_uyt2s92jERFAD6KeKs66c,"Anse Foot",soccer
ChIJd-UEcsXztRIRA9jWoQe2RtU,"EFIVE Avignon Vedene",soccer
ChIJdUHbID8O5kcRV5lQhiHTvhs,"LE PARK Noisy",soccer
ChIJdxqeoAwxw4ARVXVSJLpNtVE,"SOFIVE - UPLAND",soccer
ChIJeSnd96VNjUcRMB1eWaVkmKs,"VSD39 Dole",soccer
ChIJeWJWRjYvw0cRbnJR4ZXAKMA,"Arena Club",soccer
ChIJee8K100N5kcRNfLktIYBoqs,"Foot 5 Champigny • FFF",soccer
ChIJf8cSCJG5rhIRoQadPH-wW1U,"Events Five",soccer
ChIJfWQYaM9v6kcR5wfQjFQqpv4,"Fit'n Soccer Sedan",soccer
ChIJfXprBx4b5kcRmhe-5pLZUek,"Top Ten",soccer
ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,"UrbanSoccer - Quai d'Ivry",soccer
ChIJfdu-8NK4QIYRsNk7vR_t9S4,"Main Street Soccer",soccer
ChIJfzPcqtaRwoARXvzkvoBBQ5Y,"LAB FIVE SOCCER - PACOIMA",soccer
ChIJg2T7dqcdthIRsQBEO9wiews,"Z5 Istres",soccer
ChIJgRwhLzZV4UcRZ1kZ41ivPqU,"Ball In d'Or Dreux",soccer
ChIJgdPp24md8kcRRh_JKU2tDmA,"Foot 5 Dijon • FFF",soccer
ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,"UrbanSoccer La Défense",soccer
ChIJi2oG_jAxahoRjTdSH05-ixY,"Kinshasa - Test",soccer
ChIJi4A-IrHoyRIRunoYLEGNeYI,"LE FIVE Vitrolles",soccer
ChIJi5LkLT9v5kcRSlhScqEFNWs,"UrbanSoccer - Asnières",soccer
