DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE
040MLBU2bXcWnGINBKVl,LE FIVE Marville - La Courneuve,canceled,captain,ChIJ2dHdMZxr5kcR0aKYHYsp0pY,48.9364404&2.3869147,2023-11-09T17:30:00.000Z
04L33X6SUHv6nWtJ0mku,Le 13 - Foot en salle - Marseille,canceled,captain,ChIJR62kUm_ByRIRDnGQqGCeUVQ,43.33370070000001&5.370389599999999,2023-11-21T19:00:00.000Z
04PEEV3iRE8sTvk6gCts,Stadium Thiais,published,pro,,48.7511024&2.3713455,2023-09-04T17:00:00.000Z
04gJdGYyVUukYA8MRdXI,Stadium Thiais,played,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-01-24T18:00:00.000Z
050PGY1dw4L8S9C2Ao3l,Abd Drive,played,captain,ChIJCVBWxGht5kcRclC3u2EvPKs,48.86598919999999&2.4308229,2023-10-07T07:00:00.000Z
05HbahbEePLpDe7VbADa,Top Ten,published,pro,,48.8729106&2.6840919,2023-10-13T10:00:00.000Z
05QHO5TE7IcXtfooRPjI,Top Ten,published,pro,ChIJfXprBx4b5kcRmhe-5pLZUek,48.8729106&2.6840919,2023-10-16T16:30:00.000Z
05RXibHd2A01CjfuXl6P,Stade Makowski,played,captain,ChIJvShnxJpt5kcRwdqlaq1s3E0,48.9090365&2.436058,2023-10-08T08:00:00.000Z
05jTyZfZ3VcOTC3urnmw,LE FIVE Bezons,played,captain,ChIJ71Mv0Wpk5kcRg-H9x7L-dXo,48.9190419&2.2117725,2023-10-30T18:30:00.000Z
05oao71c7MCFtLT4l9P1,Rue du Musée,canceled,captain,ChIJ4ypzX6B15kcRFesay1dBJco,48.71676&2.39852,2023-10-08T08:30:00.000Z
05yYJ2TXkJ5M4o4SUfQ2,LE FIVE Sarcelles,played,captain,ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q,48.99782219999999&2.3902225,2023-12-22T18:50:00.000Z
06CUvCTVWzJtwBolKi2B,LE FIVE OL,canceled,captain,ChIJmz3whejH9EcR3j9ApNRukKE,45.7673403&4.9802325,2024-01-13T18:00:00.000Z
06VBLceiG3aLk7yGnq2Q,UrbanSoccer Guyancourt,canceled,captain,ChIJmdX-2c-A5kcRj1wtOS8rZmo,48.7722091&2.0600292,2023-10-06T19:00:00.000Z
06Vy02xSUHJsLo5oZzbE,Hoops Factory Paris-Villette,canceled,captain,,48.9046968&2.3794611,2023-09-12T19:00:00.000Z
06j5ggzW2o0k6axRgYqf,FOOT IN FIVE,played,captain,ChIJoUR0syFp5kcRUlStnwluaYY,48.9552257&2.3328346,2023-09-30T16:30:00.000Z
06jD0cNAokujpj9OYRI1,Stade de la Tour aux Parachutes,published,captain,,48.8175176&2.3643354,2023-09-22T13:45:00.000Z
06uQUlGXUNx9wLpUoznL,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-10-27T20:30:00.000Z
078bCl8X8gFBRzpy1jMI,Le Luth,played,captain,,48.93177&2.28867,2023-11-01T11:00:00.000Z
07F7y8GPwNcd9aNfWB9G,Stade Élisabeth,played,captain,ChIJkXj9tq5x5kcROlxynHzTh9o,48.8207737&2.3270972,2023-10-11T17:00:00.000Z
07Gv22yXgYBEqVP3Hae7,UrbanSoccer La Défense,draft,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-01-09T20:30:00.000Z
07ORwHTlpDKFlJIsUABZ,UrbanSoccer - Quai d'Ivry,played,captain,,48.8199815&2.3936307,2023-09-03T07:45:00.000Z
07PvO56tcxnggo5xPD0L,Stade des Bords de Marne,canceled,captain,,48.8531646&2.5526833,2023-09-16T08:00:00.000Z
07Z3DpIFAKDNjltMy6W4,LE FIVE Paris 17,played,captain,ChIJ7eI8sFNv5kcR5xy52Wc57NU,48.900032&2.3213449,2024-02-15T19:00:00.000Z
07sUBrsZRrovz9s0a2mW,Play Soccer,played,captain,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2023-10-12T17:00:00.000Z
07ujWLXNPoWrq99V4jK1,Sport dans la Ville Rhône-Alpes,played,captain,ChIJoUEDcmvr9EcRILCz6hDCQ2o,45.7811703&4.8081568,2023-12-13T18:00:00.000Z
082Rin4WjlxjSMq4LLDi,Evolution Football,played,captain,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2024-01-03T18:30:00.000Z
08AZ42bXpaZ2UEocVXAF,Centre Sportif Lionel Terray,played,captain,ChIJo7Jtup935kcRUd9lcEtEKzc,48.7349914&2.287439,2023-12-10T08:30:00.000Z
08CBL8DJkFNfb3Wzpnco,UrbanSoccer Guyancourt,played,captain,ChIJmdX-2c-A5kcRj1wtOS8rZmo,48.7722091&2.0600292,2023-09-27T16:00:00.000Z
08EBQbUJcjASvcwf4DaP,Stadium Thiais,canceled,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2023-11-09T18:00:00.000Z
08Np2EEXEHjhMhmzBTVI,LE FIVE Villette,played,captain,ChIJTUFnQjps5kcR0pHITLTw1PI,48.9070122&2.3861459,2024-02-20T21:00:00.000Z
08W0LADJ4wauu89kNGI4,Stade Des Courtilles,canceled,captain,ChIJ83HS9ldv5kcR-plMKkHPNTA,48.929137&2.2834726,2024-02-20T17:30:00.000Z
08Zp0qD4ZAdUqoFvMtdn,Stade Élisabeth,played,captain,ChIJkXj9tq5x5kcROlxynHzTh9o,48.8207737&2.3270972,2024-01-31T19:45:00.000Z
08ebIyNCTqfRhl4EJh5Z,LE FIVE Bezons,played,captain,ChIJ71Mv0Wpk5kcRg-H9x7L-dXo,48.9190419&2.2117725,2023-10-21T15:00:00.000Z
08lSyKsyT3Uo3cPyt7Bm,LE FIVE Paris 18,published,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-12-18T21:00:00.000Z
094U8qF1YeG0JgK0IvRf,UrbanSoccer La Défense,canceled,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-02-20T17:30:00.000Z
09ALDJSxcbHbF4k5EW4K,LE FIVE Montreuil,published,pro,ChIJJdTQjr0T5kcRZmGxtIJVy44,48.8613036&2.4653095,2024-02-23T16:30:00.000Z
09FVWQ33bZwuLRgheAiW,Stadium Thiais,played,pro,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-01-31T21:00:00.000Z
09V0R71ORsL8qPofpz2m,LE FIVE Montreuil,published,pro,,48.8613036&2.4653095,2024-01-20T15:00:00.000Z
09ZQftZMXs2H61xYNYX4,Foot-Max Argenteuil,published,captain,ChIJi9oIzaRm5kcRJYcK7QsdRMU,48.9501632&2.2093946,2023-11-10T20:00:00.000Z
09buiinuJzAiNugUEFfk,Stadium Thiais,played,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2023-10-29T15:00:00.000Z
09znPFTdPKiYDRfZQlbZ,Ball In d'Or Dreux,published,captain,ChIJgRwhLzZV4UcRZ1kZ41ivPqU,48.7468231&1.3611978,2023-12-29T18:00:00.000Z
0AFD2rDgs6RoMIGGOU4g,LE FIVE Paris 18,played,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2024-01-06T20:30:00.000Z
0AM5VepkV74f16Jh9ZCy,LE FIVE Paris 13,canceled,captain,,48.8181615&2.3658793,2023-09-10T12:00:00.000Z
0ANs9z7tdkUoHd6RoFVc,Foot POWER 5,canceled,captain,ChIJuTCIFshm5kcRBtEQJ76dAzc,48.960066&2.2061913,2023-12-09T22:30:00.000Z
0AQ3iN0JOz5fy9FTYvhr,UrbanSoccer - Quai d'Ivry,played,captain,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-09-25T17:00:00.000Z
