DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED
TsLr54VVjlsjftiBxlaF,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-03-13T16:00:00.000Z,60,8,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,10,0,0,0,0,0
PmgN4nPZNz2dgaxRfmbJ,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-03-13T16:30:00.000Z,60,10,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,10,0,0,0,0,0
lzZiByHdBZegvrt702fl,STADIUM FOOT 5 VILLAGE,published,pro,,43.269413&5.4260321,2024-03-13T17:00:00.000Z,60,10,public,false,,,fnjdH1TDJDcBVFnZjcSuXiImF7p2,0,10,0,0,0,0,0
clkcVNNVlVNVRSWp1Pn5,STADIUM FOOT 5 VILLAGE,published,pro,,43.269413&5.4260321,2024-03-14T11:00:00.000Z,60,10,public,false,,,fnjdH1TDJDcBVFnZjcSuXiImF7p2,0,10,0,0,0,0,0
Hmwxxhqx045wll4aE1O9,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-03-14T16:30:00.000Z,60,10,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,10,0,0,0,0,0
OxM2iIpAariIDLoDK3CG,Testing Purposes,published,pro,,67.461524&-152.801377,2024-03-14T19:15:00.000Z,60,12,public,false,,,f2LrY7SAV3U1V9tUVAZfiMxA3uu1,0,10,0,0,0,0,0
gijaO3KbDlwwcmMu6uFa,Stadium Antibes,published,pro,,43.6121609&7.122323,2024-03-15T11:30:00.000Z,60,7,public,false,,,w5VZiCXqSxQ40riMnKYLO11xmeJ2,0,10,0,0,0,0,0
0zJqgJSYB4GHXCDM430W,LE FIVE Marville - La Courneuve,published,pro,,48.9361223&2.3872592,2024-03-15T16:00:00.000Z,60,7,public,false,,,1GfAHFfqO6dOj37bPrTRuDS5gnk1,0,10,0,0,0,0,0
Aa0yZqM7kmZw1JDtH8hQ,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-03-15T16:00:00.000Z,60,8,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,1,10,0,0,0,0,0
hVPoB6B9w1Ekip1pAaJZ,Top Ten,published,pro,,48.8729106&2.6840919,2024-03-15T16:00:00.000Z,90,5,public,false,,,i27253AGxOfXgYJK72sBnvUGuMk2,8,10,0,0,0,0,0
