REPEATER_ID,ADDRESS,CENTRE,DURATION,EXPECTED_TIME,FIRST_OCCURRENCE,LOCATION_LATITUDE,LOCATION_LONGITUDE,MAX_PLAYERS,ORGANIZER,PLACE_ID,PRICE,STATUS,TIME,TIME_ZONE,WEEKDAY
GL7Beecuiq4fl9VtITYY,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,17:30,2023-08-29T13:44:56.121Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,12,published,2023-08-29T15:30:00.000Z,Europe/Paris,6
GOHKSdxyeBIxf6FLGxWt,"9 Av. de la Porte de Choisy, 75013 Paris, France",LE FIVE Paris 13,60,22:00,2024-02-24T12:30:31.278Z,48.8181615,2.3658793,10,FjSnzlRFFfhWVWQJGfIEwRc2ZMj2,ChIJ_bOSChhz5kcRZMTeq_6Gdzg,10,published,2024-02-24T21:00:00.000Z,Europe/Paris,6
GxfYIyrAvvg4znZXy1aO,"215 Rue d'Aubervilliers, 75018 Paris, France",LE FIVE Paris 18,60,19:45,2024-02-27T11:14:54.127Z,48.8978522,2.3700234,10,UQf33jQhVZhle917nO0h7D5qclV2,ChIJpVT4_n1u5kcRzji6FdTBXXo,12,published,2024-02-27T18:45:00.000Z,Europe/Paris,1
Hf6zEGx69ESvCLJ4LcwW,"215 Rue d'Aubervilliers, 75018 Paris, France",LE FIVE Paris 18,60,17:00,2023-08-30T19:23:14.446Z,48.8978522,2.3700234,10,UQf33jQhVZhle917nO0h7D5qclV2,ChIJpVT4_n1u5kcRzji6FdTBXXo,5,published,2023-08-30T15:00:00.000Z,Europe/Paris,1
Hlxxm5qlUD7omqI4PgpK,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,22:00,2023-08-29T13:47:59.102Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,15,published,2023-08-29T20:00:00.000Z,Europe/Paris,7
Hnb5bWirG472qK6N4HC6,"ZI SENIA, 2 Rue du Courson, 94320 Thiais, France",Stadium Thiais,90,11:30,2023-08-29T13:44:30.963Z,48.7511024,2.3713455,10,psf3NmXEPwdCltHKJC7VuvJocrF3,ChIJ64X9jzx05kcRsHvSfOv6UcA,12,published,2023-08-29T09:30:00.000Z,Europe/Paris,6
Hohn7nFCb4d105Zlc8wc,"139 Rue François Mauriac, 13010 Marseille, France",STADIUM FOOT 5 VILLAGE,60,12:00,2024-03-04T15:28:56.096Z,43.269413,5.4260321,10,fnjdH1TDJDcBVFnZjcSuXiImF7p2,ChIJbbOWFtC4yRIR0WXVerbWmnE,10,published,2024-03-04T11:00:00.000Z,Europe/Paris,4
I7mQ5Q0ulzM3dlt8NtEf,"156 Rue de la Nouvelle France, 93100 Montreuil, France",LE FIVE Montreuil,90,12:00,2023-11-22T20:15:07.052Z,48.8613036,2.4653095,10,u9uC1vjdcdQ3UqNxI0SiFxor0m43,ChIJJdTQjr0T5kcRZmGxtIJVy44,10.5,published,2023-11-22T11:00:00.000Z,Europe/Paris,3
IEoES6TgaNO1D8iadQpZ,"41-51 Rue Jacquard, 77400 Lagny-sur-Marne, France",Top Ten,90,17:00,2023-11-06T14:07:40.232Z,48.8729106,2.6840919,10,i27253AGxOfXgYJK72sBnvUGuMk2,ChIJfXprBx4b5kcRmhe-5pLZUek,5,published,2023-11-06T16:00:00.000Z,Europe/Paris,4
IMXloW7wZwgyYmbqkgie,"304 Av. du Pylône, 06600 Antibes, France",Stadium Antibes,60,12:30,2024-03-05T12:15:25.879Z,43.6121609,7.122323,10,w5VZiCXqSxQ40riMnKYLO11xmeJ2,ChIJSSGxg-PUzRIRblID9ACQndc,7,published,2024-03-05T11:30:00.000Z,Europe/Paris,1
IqIzQNqYhuqq8RmTAi26,"Kinshasa, République démocratique du Congo",Kinshasa,90,16:30,2024-01-19T13:46:28.006Z,-4.3032527,15.310528,10,zCvsukfMuuffsuPpSTQwb7MusMD2,ChIJi2oG_jAxahoRjTdSH05-ixY,11,published,2024-01-19T15:30:00.000Z,Europe/Paris,5
ItWGxtfgXYZhZ80CV9X3,"304 Av. du Pylône, 06600 Antibes, France",Stadium Antibes,60,17:00,2024-03-05T12:20:13.086Z,43.6121609,7.122323,10,w5VZiCXqSxQ40riMnKYLO11xmeJ2,ChIJSSGxg-PUzRIRblID9ACQndc,10,published,2024-03-05T16:00:00.000Z,Europe/Paris,3
