centre_id;centre_name;centre_address;place_id;nombre_de_games_crees;nombre_de_games_played;nombre_de_games_canceled;nombre_de_games_published;nombre_de_games_hidden;total_joueurs_ayant_rejoint;taux_de_remplissage_moyen;premier_game;dernier_game
psf3NmXEPwdCltHKJC7VuvJocrF3;Stadium Thiais;ZI SENIA, 2 Rue du Courson, 94320 Thiais, France;ChIJ64X9jzx05kcRsHvSfOv6UcA;222;2;0;214;6;27;3.0%;03/12/2025;13/03/2026
gYGkBpA9N0OhLOKlgXx9ja96UA73;4PADEL Argenteuil;26 Rue de la Fosse aux Loups, 95100 Argenteuil, France;ChIJ33T-c5pn5kcR9aJNxp19dtY;152;2;15;135;0;35;5.8%;22/12/2025;13/03/2026
1GfAHFfqO6dOj37bPrTRuDS5gnk1;LE FIVE Marville - La Courneuve;51 Av. Roger Salengro, 93120 La Courneuve, France;ChIJ2dHdMZxr5kcR0aKYHYsp0pY;12;0;1;10;1;0;0.0%;14/01/2026;09/02/2026
zCvsukfMuuffsuPpSTQwb7MusMD2;Prati United;Prati;ChIJi2oG_jAxahoRjTdSH05-ixY;6;0;4;1;1;1;4.2%;26/11/2025;30/11/2025
