user_id,role
AFJEJdeDe9VTEZnNTlaZV2e5IYV2,player
AHbQgo6ukPd7dnxcVY2FC9pQaMD2,player
AMqLhjGUZXVYVcPOFuztoFcADW32,
ASUeTyT60ieJU5G6OR52Yix8tA33,
AVr4EJo7TJYFcZfgBUqyLJVhl443,
AWzR2VZCsUWARCcRKPVZefDFIZ93,player
AvG65YA47MbQxo3vamLOYYQ4VeB2,player
AwM94LB2QLQ1OnuT85lKoWTxCnR2,player
B6hJGB2qJnRbT2UUAaBGWAut3Zw1,player
BCMKhPgejGTnjc17jlXOqWTSPHo1,captain
BGJz0bYJn1Ykzfc1G1jA2d2Jg863,
BS6B3LFm5PgpQB1v9ZxZvXVccNT2,player
BWMnJbN9F7aIFolZaHt1h05Enq93,player
BX3h2VQ2bGQtF3nytgkrWPAVQZS2,player
BXKDgofWJAc2j2bl45jVXjAg3Mj2,
BZZDBsenCjZWs7kyXYgSZBetUoU2,
BlAuI31dzGYQIZKGU5S4OCzLdV03,player
BncFkO39RzR6gOoJKlAR8AC7u4c2,
BoLJN0Faw6dqkpvja4CmrZ3DJzm2,player
Bq6WIDEDQmNvyZ7EVDgyr7tW3pn1,player
Bw2QCYgqCbfwrBizMBKIwE1kS6p2,captain
BxVO4BA4lLd9Sky3LO8IFTWW6A62,
C5IKaORqcrbypLiw2R9qWSsCZX53,
CBD4LRdDbCW2AMlGLiLYwjihIN22,
CLqADBUHMNMajVAedKmo0aiJn4u1,
CSRMwyUf1sgonJX0ooZ6SRm2jgG2,player
CUnklqov0jWe2JziPEm3lL6F14Q2,player
CbUf6eQcg2aWEsEDAkNVHrTVHaX2,player
Cm2cXu5NkdR1j9VM9gsKqjUgKJp1,
Cu9dY3mWZZX0yfFJYggsqFowmky1,player
CuowVAwnTvcozU1jn8FNuPpCJtD3,
CwGMOepJUUVyLtvO9eroi9FIT8v2,player
Cwt0rGLcfIWyy2WnPjXTDXfbYQg2,player
Cyg5UOEVLXeERm5tmXfH833S5ms1,
D2lqsnB03ohkRedquCpNcNzfXjq1,
D6TVVVFwMpR5oenPprXYtdaeZBB3,captain
D9yQ9gW8CCZskn5w9BGo6VIVGcm1,
DAg29zwrwhe8R0EqiDdjQMsq1q73,player
DCxALC5M9fO4t9f4Tme5rjaaNgg1,player
DDkJsxfDBsU9NLQmAaqegCQcHWT2,
DFwmlQ6oqPX9L8s0E4RUse266bh1,player
DLAkOqw0zWPwT4zcYpQRjeOUcUQ2,
DMy3kBBtffPZ3LBEP9OHg62YoqF2,
DVIlpdUpQtNJDBJP91qQVMBqfoP2,captain
DcrMcv99PrgAMMdSRlLtj1WZABa2,
DsDE1vrI2tNHibbMRGlc7cWZlHj1,player
Dx2KRaSnGmPI5a8EGCOR9jTHPRc2,captain
E0Ltg4woqbOYWmWkoJ8xqz0Fv8H2,player
E0q3PUd6mPeVBSlilaH7yCwb5B32,
E7UU0sdhPFd98NMwixTe6YwzMf72,player
E81BcNbAXXRrviPTXBMaPCAxbBE3,player
EAzElIGk7tdCsaThE2kjD2NXEwS2,captain
EFsipCQ9NCXx2g9CjOxhjXE8lp32,captain
EHj2Ap9hGbXref5wH2N3RKQ9y3f2,player
ESiLCB6gzFa0UzfhOJS550Mi77A2,
EXMtdbdab5Pp0pf6ETJZYgD8GE82,player
EbmcnMypBHTPGbX7kp1EGy45U0y2,
EnNxDNI1JreuxoR38beJ1Ja158m1,player
EnXPLYI8JQebZsqLIkW4SUbGKG32,captain
EnwiuTiBmSSqOGRFYqrIuwOp68x2,
EvxFFwsukkbg9HPuJM9juXbkuNi1,player
EwmmLFzBRKaOrV232tvkYX9ZhfO2,player
F2qHki1QFXOaDypwyZJFkY7cPXg1,player
F6cmarZ9NZRWaJD34KcDbCxJX843,
FCBRw9fSufghfSqQdlVCVpzB2Fz1,player
FITrfbo5KbYLZgLu4QeZf0LJg6h2,captain
FJQwcuviIUTbowmEeMlpN1vwcc32,player
FQN7OcGxYucbkr4A1mD6sVHv5iG3,
FT4NyTkgdCQZstvIrqH6VdYtHGb2,player
FUI3EVtOfDXemPmTSdTw6JFDkbi2,player
Fd7rU3SYyBSOroqPwXQPtADtiG43,
