CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
City KOF,22,4,5,13,0,6,1,21
Court de Tennis Edouard Pailleron,22,4,14,4,0,2,0,22
Gymnase Dericbourg,21,9,11,1,0,1,0,21
Stade Hubert Moruzzo,21,9,9,3,0,4,0,21
Grésillons - Félix Eboué,21,4,15,2,0,1,0,21
Bordeaux Soccer,21,12,3,6,0,6,0,21
Stade Charles Rigoulot,21,5,12,4,0,2,0,21
Complexe Sportif Jacqueline Auriol,20,7,4,9,0,1,0,20
Le Mercato FOOT INDOOR,20,1,13,6,0,5,20,0
Gymnase Suzanne Berlioux,20,5,9,6,0,1,0,20
UrbanSoccer Lyon Dardilly,20,2,10,8,0,11,20,0
Spot FUTSAL,20,6,5,9,0,4,0,20
Centre Sportif La Plaine,20,3,9,8,0,11,1,19
Parc des Sports Pierre Bourdan,19,0,8,11,0,1,0,19
Soccer Five,19,11,8,0,0,1,0,19
Stade Jean Jaurès,19,3,12,4,0,3,0,19
Centre Sportif Jules Noël,19,6,3,10,0,5,0,19
Gymnase Léo Lagrange,19,3,15,1,0,4,0,19
Stades de l'Île de Puteaux,18,1,8,9,0,8,0,18
Terrain de Football des Blagis,18,6,9,3,0,7,0,18
Moulin neuf,18,3,10,5,0,2,0,18
4PADEL Epinay,18,11,0,7,0,4,0,18
Terrain de sport des Amandiers - TEP Angélique Duchemin,17,4,6,7,0,6,0,17
Square du Clos Feuquières,17,2,11,4,0,4,0,17
Gymnase Céline Dumerc,17,3,5,9,0,3,0,17
Goal In d'Or La Farlède,17,0,13,4,0,2,0,17
Stade Yves-du-Manoir,17,5,5,7,0,8,0,17
Gymnase Villaine,16,1,10,5,0,6,1,15
Gymnase Nelson Paillou,16,3,12,1,0,1,0,16
Gymnase Rosalind Franklin,16,2,12,2,0,2,0,16
Stade André-Karman,16,1,12,3,0,3,0,16
