DOC_ID,CENTRE,STATUS,PLACE_ID,LOCATION,DATE
05oao71c7MCFtLT4l9P1,Rue du Musée,canceled,ChIJ4ypzX6B15kcRFesay1dBJco,48.71676&2.39852,2023-10-08T08:30:00.000Z
05yYJ2TXkJ5M4o4SUfQ2,LE FIVE Sarcelles,played,ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q,48.99782219999999&2.3902225,2023-12-22T18:50:00.000Z
06CUvCTVWzJtwBolKi2B,LE FIVE OL,canceled,ChIJmz3whejH9EcR3j9ApNRukKE,45.7673403&4.9802325,2024-01-13T18:00:00.000Z
06VBLceiG3aLk7yGnq2Q,UrbanSoccer Guyancourt,canceled,ChIJmdX-2c-A5kcRj1wtOS8rZmo,48.7722091&2.0600292,2023-10-06T19:00:00.000Z
06Vy02xSUHJsLo5oZzbE,Hoops Factory Paris-Villette,canceled,,48.9046968&2.3794611,2023-09-12T19:00:00.000Z
06j5ggzW2o0k6axRgYqf,FOOT IN FIVE,played,ChIJoUR0syFp5kcRUlStnwluaYY,48.9552257&2.3328346,2023-09-30T16:30:00.000Z
06jD0cNAokujpj9OYRI1,Stade de la Tour aux Parachutes,published,,48.8175176&2.3643354,2023-09-22T13:45:00.000Z
06uQUlGXUNx9wLpUoznL,UrbanSoccer La Défense,played,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-10-27T20:30:00.000Z
078bCl8X8gFBRzpy1jMI,Le Luth,played,,48.93177&2.28867,2023-11-01T11:00:00.000Z
07F7y8GPwNcd9aNfWB9G,Stade Élisabeth,played,ChIJkXj9tq5x5kcROlxynHzTh9o,48.8207737&2.3270972,2023-10-11T17:00:00.000Z
07Gv22yXgYBEqVP3Hae7,UrbanSoccer La Défense,draft,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-01-09T20:30:00.000Z
07ORwHTlpDKFlJIsUABZ,UrbanSoccer - Quai d'Ivry,played,,48.8199815&2.3936307,2023-09-03T07:45:00.000Z
07PvO56tcxnggo5xPD0L,Stade des Bords de Marne,canceled,,48.8531646&2.5526833,2023-09-16T08:00:00.000Z
07VyfoMF7XtkWowkAALi,UrbanSoccer - Puteaux,draft,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,
07sUBrsZRrovz9s0a2mW,Play Soccer,played,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2023-10-12T17:00:00.000Z
07ujWLXNPoWrq99V4jK1,Sport dans la Ville Rhône-Alpes,played,ChIJoUEDcmvr9EcRILCz6hDCQ2o,45.7811703&4.8081568,2023-12-13T18:00:00.000Z
082Rin4WjlxjSMq4LLDi,Evolution Football,played,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2024-01-03T18:30:00.000Z
08AZ42bXpaZ2UEocVXAF,Centre Sportif Lionel Terray,played,ChIJo7Jtup935kcRUd9lcEtEKzc,48.7349914&2.287439,2023-12-10T08:30:00.000Z
08CBL8DJkFNfb3Wzpnco,UrbanSoccer Guyancourt,played,ChIJmdX-2c-A5kcRj1wtOS8rZmo,48.7722091&2.0600292,2023-09-27T16:00:00.000Z
08EBQbUJcjASvcwf4DaP,Stadium Thiais,canceled,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2023-11-09T18:00:00.000Z
08ebIyNCTqfRhl4EJh5Z,LE FIVE Bezons,played,ChIJ71Mv0Wpk5kcRg-H9x7L-dXo,48.9190419&2.2117725,2023-10-21T15:00:00.000Z
08lSyKsyT3Uo3cPyt7Bm,LE FIVE Paris 18,published,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-12-18T21:00:00.000Z
09ALDJSxcbHbF4k5EW4K,LE FIVE Montreuil,published,,48.8613036&2.4653095,2024-02-23T16:30:00.000Z
09V0R71ORsL8qPofpz2m,LE FIVE Montreuil,published,,48.8613036&2.4653095,2024-01-20T15:00:00.000Z
09ZQftZMXs2H61xYNYX4,Foot-Max Argenteuil,published,ChIJi9oIzaRm5kcRJYcK7QsdRMU,48.9501632&2.2093946,2023-11-10T20:00:00.000Z
09buiinuJzAiNugUEFfk,Stadium Thiais,played,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2023-10-29T15:00:00.000Z
09z2TWhR8MwcrFFNCzkq,Parc Interdépartemental des Sports du Tremblay,published,ChIJBVkfrQ4N5kcRGi-XnNQN_yo,48.8281085&2.491365,
09znPFTdPKiYDRfZQlbZ,Ball In d'Or Dreux,published,ChIJgRwhLzZV4UcRZ1kZ41ivPqU,48.7468231&1.3611978,2023-12-29T18:00:00.000Z
0AFD2rDgs6RoMIGGOU4g,LE FIVE Paris 18,played,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2024-01-06T20:30:00.000Z
0AM5VepkV74f16Jh9ZCy,LE FIVE Paris 13,canceled,,48.8181615&2.3658793,2023-09-10T12:00:00.000Z
0ANs9z7tdkUoHd6RoFVc,Foot POWER 5,canceled,ChIJuTCIFshm5kcRBtEQJ76dAzc,48.960066&2.2061913,2023-12-09T22:30:00.000Z
0AQ3iN0JOz5fy9FTYvhr,UrbanSoccer - Quai d'Ivry,played,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-09-25T17:00:00.000Z
0AlfRmgBwrrU56BV7Z04,UrbanSoccer - Puteaux,played,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2023-11-08T21:00:00.000Z
0AnhF8k3fC8lgOxonR9g,LE FIVE Paris 18,canceled,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-12-09T12:15:00.000Z
0B2hLkdnbdZy3U35zWKo,Stade Pierre Letessier,published,ChIJmcO_CLgS5kcR_tYXn2vhXNs,48.8750074&2.4964236,2023-12-31T09:45:00.000Z
0B8TCWpjV8qGHnCbPERr,UrbanSoccer La Défense,played,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2023-11-01T17:45:00.000Z
0BKavgzC7CFMj4wPjjoU,Top Ten,played,ChIJfXprBx4b5kcRmhe-5pLZUek,48.8729106&2.6840919,2023-10-09T15:00:00.000Z
