CREATED;TIMES;USER;WEEKDAYS;PLACES
24/02/2024;9:00 10:30 9:30 10:00 11:30 11:00 12:00 12:30 13:00 14:30 23:30 23:00 22:30 22:00 21:30 21:00 20:30 20:00 19:30 19:00 18:30 18:00 17:30 17:00 16:30 16:00 15:30 15:00 14:00 13:30;81tNKfLcOEtkfRYzfNAE;6 7;UrbanSoccer - Marne-La-Vallée-ChIJ6bDBiosP5kcROXiloHzSdhc
21/02/2024;9:00 9:30 10:00 10:30 11:00 11:30 12:30 12:00 13:30 13:00 14:30 14:00 15:00 15:30 16:30 16:00 17:30 17:00 18:30 18:00 19:00 19:30 20:30 20:00 21:30 21:00 22:30 22:00 23:30 23:00;85bldFmDq9B64KUHo7zb;1 2 4 3 5 6 7;Speed Soccer Five-ChIJ2xTNglV25kcR3UDi4AXGfDU LE FIVE Morangis-ChIJA4uAhOXZ5UcRp-vZXZP-ovY UrbanSoccer Orsay-ChIJpZIJg7J45kcRrKWKhtbfnEQ Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA UrbanSoccer Meudon-ChIJ0WKvjbh75kcRoqSmyWwW2jQ LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk UrbanSoccer Evry-ChIJW0Ut1G7e5UcRt621n2fRQ5M UrbanSoccer Guyancourt-ChIJmdX-2c-A5kcRj1wtOS8rZmo UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA Élite 5 Soccer-ChIJ5-jfdlZk5kcRYIaELgvikaM LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo
25/02/2024;19:00 19:30 9:30 10:00 10:30;88UxSMEtEKZN3KL1JpvJ;6 7;LE FIVE Bobigny-ChIJV8UONORs5kcRXxR5Qd7x130 LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44 LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY
07/03/2024;10:00 9:00 10:30;890fLAO7kCj9IifEjr8X;6;VERSUSFOOT Thiais-ChIJn2R2NT905kcRjqB29qldBxk Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk LE FIVE Morangis-ChIJA4uAhOXZ5UcRp-vZXZP-ovY
16/03/2024;17:30 17:00 18:00;8CfQPcDBcW4QpBZA8rxM;2 1 3 4 5;LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU
17/02/2024;0,8125;8EAV5wqgJT6169X7bbqU;1 2 3 4;UrbanSoccer - Toulouse Montaudran-ChIJl772e0u8rhIR2foRX4Xa2CI UrbanSoccer - Toulouse Sept Deniers-ChIJk5nUBdOkrhIRP-1aUJzo-lA Events Five-ChIJf8cSCJG5rhIRoQadPH-wW1U Play Soccer-ChIJQ-UxZn-5rhIRKWoQydM5T9s Classico Foot-ChIJFV442oCxrhIRgsZy5aIbkNs
29/02/2024;11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:30 15:00 16:30 16:00 17:00 17:30 18:00 18:30 19:00 19:30 20:00;8Euz8fFMw3Zefh6cCk6p;6 7;UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ
03/02/2024;9:00 9:30 10:00 10:30 11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:30 22:00 23:00 23:30;8IL4lP2EOF9yFz6wOIbP;7;UrbanSoccer Orsay-ChIJpZIJg7J45kcRrKWKhtbfnEQ
16/03/2024;18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00;8IZvwv5Ios1A2z0JwiHp;1 2 3 4;UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA VERSUSFOOT Thiais-ChIJn2R2NT905kcRjqB29qldBxk LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk
15/03/2024;0,541666667;8OYj05TxDH4LAig1DmBD;1 2 3 4 5 6 7;Foot POWER 5-ChIJuTCIFshm5kcRBtEQJ76dAzc Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA
06/03/2024;10:00 10:30 11:00 9:30;8OltRpNpIT8r6LuEKFSC;7;UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs UrbanSoccer Meudon-ChIJ0WKvjbh75kcRoqSmyWwW2jQ
04/03/2024;19:00 19:30 20:00 20:30 21:00 21:30;8Rsge3lmgeJ5gLwwgoSa;1 2 3;LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY
04/03/2024;0,5625;8Uk5X0PuplQxM2cD6mYx;7;FIVE ARENA MEAUX-ChIJ02bKSuih6EcRb796CXVbkVs
07/03/2024;0,916666667;8W9bdJHlSdlCDxCpMq6f;4;Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA
19/03/2024;15:00 18:00 19:00 20:00 13:00;8b9bTE62EW9mVGtNxMpY;2 4 5;Massilia Foot Indoor 2-ChIJxZ6UmMW-yRIRfYNGGPPJfIU Le 13 - Foot en salle - Marseille-ChIJR62kUm_ByRIRDnGQqGCeUVQ STADIUM FOOT 5 VILLAGE-ChIJbbOWFtC4yRIR0WXVerbWmnE Le Mercato FOOT INDOOR-ChIJzRK7HJy_yRIRqEreyEiAfC0 Massilia Five-ChIJxZ6UmMW-yRIR7ot5DChYj4w MONCLUB 2.0-ChIJv9owGLm-yRIRfuDnd3G6nR4 Game 13 foot indoor-ChIJNSDvlsXryRIRUXao9hwB79I Evolution Football-ChIJX0YulIi8yRIRnGh62u3UXTQ FOOT INDOOR Marseille-ChIJ41AMCxC8yRIRLHLGt11sc-U LE FIVE Vitrolles-ChIJi4A-IrHoyRIRunoYLEGNeYI Monclub Futbol-ChIJGbxxaamUyRIRgGvhHnhJStA Le B3 Soccer-ChIJa69uraDryRIRRlY7a07cUqU Z5 Aix-ChIJKb-U_9KSyRIRKIFKbH5mW18
18/03/2024;11:00 14:00 13:00 15:00;8gR5Op3jxw8ZFNfQawCy;1 2 3 4 5 6 7;Sporting Club Municipal Châtillonnais - Football-ChIJrUCkXI5w5kcR3IVQ7VKP1As
26/02/2024;0,791666667;8h2Bzo73gcsqh3PFw00s;1;BALL CONCEPT Monplaisir-ChIJn7xJyorytRIR5fCxB3seBOs EFIVE Avignon Vedene-ChIJd-UEcsXztRIRA9jWoQe2RtU Avisports-ChIJMW5LP0fstRIR1RUOcG2lvwY FOOT INDOOR 84-ChIJ_fXJygyNtRIRWrG_JSu4V3w
10/03/2024;0,791666667;8iVz4XyambxUZpO0QfHL;6 7 3 5;LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA
13/03/2024;0,75;8n1Xd4hIGBkjXwv9Fkya;3;LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo
28/02/2024;9:00 10:00 11:00 12:00 13:00 14:00 15:00 16:00 17:00 18:00 19:00 20:00 21:00 22:00 23:00 23:30 22:30 21:30 20:30 19:30 18:30 17:30 16:30 15:30 14:30 13:30 12:30 11:30 10:30 9:30;8nuzZDD4TSMpSsahEo0P;1 2 3 4 5 6 7;GOPARK Pontoise-ChIJ2cJmdhf15kcRQ4mUOxIVzd0
16/03/2024;9:00 9:30 10:00 10:30 11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:30 15:00 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00 23:30;8sWWB0JiaODLWRFsg6w7;1 2 3 4 5 6 7;Foot en salle Montauban - THE SOC5CER-ChIJUc4N5XYSrBIRidC7hrwrqJ0 Montauban Football Club-ChIJ-40MDQISrBIR57tb_ZEHREk Urban Fit Center salle de sport-ChIJdSnfKPcNrBIRms4Rckkxe7s Stade du Port Canal-ChIJhdEgjHcPrBIRPdsaQQ0BPDw Stade de Capou-ChIJU8u0ieMNrBIRaj1QOG3lx44 District du Tarn et Garonne de Football-ChIJWaIFuVkOrBIRNkIJzO7IP9k UrbanSoccer - Toulouse Montaudran-ChIJl772e0u8rhIR2foRX4Xa2CI UrbanSoccer - Toulouse Sept Deniers-ChIJk5nUBdOkrhIRP-1aUJzo-lA Stadium TFC-ChIJrdOmQoS7rhIRzeO9R0fpiiU Stadium de Toulouse-ChIJ-UhgLMC7rhIRf3C4uNwHcfU Toulouse Futsal-ChIJTb6B0f66rhIREO_CI5byZpI Toulouse Futsal Club-ChIJTb6B0f66rhIR9469VoAJe7A Stade des Fontaines-ChIJMach8hK7rhIRL5qkNjCidv0 Terrain de foot-ChIJiRAsghi9rhIR26HPkjTfwAQ Espaces du Stadium-ChIJAQDAA4W7rhIReNwRtLIGNSA Terrain de Football-ChIJR6zFBAq9rhIR50E3fb8GV60 Union Sportive Montbartier Section Football-ChIJgV3kemkGrBIRZqIA643hsp0 Stade de Montbeton-ChIJP1NVTQANrBIRrl1ieFWkbkw Stade Jean Bourdette-ChIJxcvQyHAJrBIRUlyzMIi6Rao Stade Chemin de Montagne-ChIJcR2aTW4LrBIRUQm8AYhvUeQ
09/02/2024;9:00 10:00 11:00 12:00 13:00 14:00 15:00 16:00 17:00 18:00 9:30 10:30 11:30 12:30 13:30 14:30 15:30 16:30 17:30 18:30 19:00 19:30 20:00 20:30 21:00 22:00 23:00 23:30 22:30 21:30;8wIbV6eOXFA49CitcmrF;1 2 3 4 5 6 7;UrbanSoccer - Marne-La-Vallée-ChIJ6bDBiosP5kcROXiloHzSdhc
17/03/2024;0,875;8xDyLKolnwVv9drZnZUF;5 6 7;UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA
25/02/2024;0,75;8yGUIv2YVfZ9eXGKMNV6;2 3;Sport dans la Ville Rhône-Alpes-ChIJoUEDcmvr9EcRILCz6hDCQ2o
06/02/2024;17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00;91XYUAEH9WCOnfWk9hKJ;5;LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA
04/03/2024;14:00 14:30 15:00 15:30 16:00;92FbhtNqrKuOzA312LHQ;7;Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs Foot POWER 5-ChIJuTCIFshm5kcRBtEQJ76dAzc
04/02/2024;11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00;930HV8r1zeNDZpU8JzbR;1 2 3 4 5 6 7;UrbanSoccer - Montpellier-ChIJVXFMq4ylthIRtrZPBHOMTAc Le Five Football Club-ChIJ2alyFouvthIR-e3SgdzFnwE GGL Stadium-ChIJq8eCukCuthIRjnxyAMXgn84 BUBBLE FOOT MONTPELLIER BUL'FOOT-ChIJy7XMFDylthIRn6TeXm2Z4JE Insport Montpellier - Près d'arènes-ChIJJWIca-qvthIRHxcGJpAq4kA FDI Stadium-ChIJD26YbyWvthIRkxW-k1Kq76o Stade Rachid Malla-ChIJZSdggI6uthIRQMhiblgL7YI UrbanVillage Montpellier-ChIJcZlHDFilthIR7hRJJwgCpD8 AR'SOCCER-ChIJK8zAN7ivthIR35hQJsramBE Stade Municipal-ChIJ6aDhBPWuthIRaT-z5XyIDdk Stade de la Mosson-ChIJK1IpmDqsthIRawA9nhlW4Jk Stade Bernard Giambronne-ChIJJ4CE_smvthIRzecaW-crpFo Terrain de football-ChIJVTcCLM6vthIRUrO7ZCnumys Centre d'Entraînement MHSC Bernard-Gasset Diadora Utility-ChIJQyi5U5-lthIRVEHbIdrp9bo Terrain de Football de la Cité Astruc-ChIJcQgO2veuthIR-XR0Pz8RQAg Five Pizza Original - Montpellier-ChIJ9c-D2fOvthIRPLa0E9GJFiY Stade Eric Béchu-ChIJY0LnjkCuthIR4Jt2tBkm6uE Sudsport 34-ChIJh-FIwF9MsRIRUsGpL0o88QE Terrain de foot Jeannot Véga-ChIJf-9hPZmvthIRo5mI6dlPlhc Urban Padel - Club de Padel Montpellier-ChIJ57O9asmlthIR9L7LO01nxWQ MUC Football-ChIJ51zPleGuthIRSRtPS6T5688 MUC Football-ChIJ89vvgSOvthIRzrjpvaftRVY
17/02/2024;18:00 19:00 20:00 18:30 19:30 17:00 17:30;97bjoszUWp9bPSUohK8Z;1 2 3 4 5;LE FIVE Villette-ChIJTUFnQjps5kcR0pHITLTw1PI LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44
08/03/2024;20:00 20:30 21:00 21:30;98aM3qzkD4TCqIsHBSU5;5 6 7;LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk
19/03/2024;9:00 22:00;98gDWJx8wKH7y5EOTom7;5 2;UrbanSoccer - Marne-La-Vallée-ChIJ6bDBiosP5kcROXiloHzSdhc LE PARK Noisy-ChIJdUHbID8O5kcRV5lQhiHTvhs LE FIVE Champigny-ChIJsXi1PLYN5kcRTVVDuczgS2s Top Ten-ChIJfXprBx4b5kcRmhe-5pLZUek LE PARK Servon-ChIJMU8gErUJ5kcRSnpvacKwFtM LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44 Footbox-ChIJY-WkusIR5kcR-tEad3UtaSQ OHSPORT-ChIJHeG9fA4X5kcRbGNzVY5Ud5I Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg LE FIVE Bobigny-ChIJV8UONORs5kcRXxR5Qd7x130 VERSUSFOOT Thiais-ChIJn2R2NT905kcRjqB29qldBxk UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ Power Five-ChIJ6ULNmyh15kcRV9cjbnBjGr8
17/03/2024;20:00 20:30 21:00 21:30 22:00 22:30 19:30;98lsgryDfOY2JkDByaFR;7 6 5 4 3 2 1;LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44 LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg LE FIVE Champigny-ChIJsXi1PLYN5kcRTVVDuczgS2s LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk C S Meaux Academy Football-ChIJ9x-_lUGh6EcRBaxFufu2s3Y CS MEAUX ACADEMY FOOTBALL CLUB-ChIJTTtzEGqh6EcR5vBN53JqNCk FOOT 4 ALL-ChIJg7UjQYah6EcRB8LwD4Z6BuM FIVE ARENA-ChIJ02bKSuih6EcRb796CXVbkVs
29/02/2024;18:30 19:00 19:30 20:00 20:30 21:00 21:30;99S37R82ixTuiYfGD5Ex;5 3 7;F5 Foot Five-ChIJjUbM5G7A9EcRW3mlkrhyXxY LE 5 DE LEGENDE-ChIJAQNaA3nc9EcRYvB35x41mBs LE FIVE OL-ChIJmz3whejH9EcR3j9ApNRukKE UrbanSoccer - Lyon Parilly-ChIJx3FQWjLC9EcRrrQb2eV7i_4 We Are Sports-ChIJFZU5oBHC9EcRJTFrSkI1xxg
11/03/2024;19:00 19:30 18:30 20:00 20:30 18:00 21:00 21:30;9E1jhET56theK0CqQXsv;2;Sport dans la Ville Rhône-Alpes-ChIJoUEDcmvr9EcRILCz6hDCQ2o
23/02/2024;19:00 18:30 19:30 20:00 20:30 18:00;9EG05sHe7ocAE2QtNwqA;2 3 4;Sun Set Soccer-ChIJ-2jOt33D9EcRLZL2mS5Gvz4 UrbanSoccer - Lyon Barolles-ChIJN4l-IC3v9EcRf9QJKIVC_aY
11/03/2024;0,833333333;9IpgAY5wECqTF1mjtIuV;4;LE FIVE Champigny-ChIJsXi1PLYN5kcRTVVDuczgS2s LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44 LE PARK Noisy-ChIJdUHbID8O5kcRV5lQhiHTvhs LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ UrbanSoccer - Marne-La-Vallée-ChIJ6bDBiosP5kcROXiloHzSdhc LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg LE FIVE Bobigny-ChIJV8UONORs5kcRXxR5Qd7x130 Footbox-ChIJY-WkusIR5kcR-tEad3UtaSQ Power Five-ChIJ6ULNmyh15kcRV9cjbnBjGr8 VERSUSFOOT Thiais-ChIJn2R2NT905kcRjqB29qldBxk Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA LE FIVE Villette-ChIJTUFnQjps5kcR0pHITLTw1PI LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY LE PARK Servon-ChIJMU8gErUJ5kcRSnpvacKwFtM Top Ten-ChIJfXprBx4b5kcRmhe-5pLZUek LE FIVE Marville - La Courneuve-ChIJ2dHdMZxr5kcR0aKYHYsp0pY LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU Speed Soccer Five-ChIJ2xTNglV25kcR3UDi4AXGfDU
27/02/2024;17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00;9LVmOjcEfy8GzBKvawuB;1 2 3 4 5;LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA
03/03/2024;16:00 17:00 18:00 19:00 20:00 21:00 22:00 16:30 17:30 18:30 21:30 20:30 19:30 22:30;9MBhtsjrVYon6FMd03ps;1;Sport dans la Ville Rhône-Alpes-ChIJoUEDcmvr9EcRILCz6hDCQ2o F5 Foot Five-ChIJjUbM5G7A9EcRW3mlkrhyXxY We Are Sports-ChIJFZU5oBHC9EcRJTFrSkI1xxg UrbanSoccer - Lyon Parilly-ChIJx3FQWjLC9EcRrrQb2eV7i_4 LE 5 DE LEGENDE-ChIJAQNaA3nc9EcRYvB35x41mBs UrbanSoccer - Lyon Barolles-ChIJN4l-IC3v9EcRf9QJKIVC_aY LE FIVE OL-ChIJmz3whejH9EcR3j9ApNRukKE Sun Set Soccer-ChIJ-2jOt33D9EcRLZL2mS5Gvz4
21/02/2024;12:00 13:00 14:00 15:00 16:00 17:00;9NxgODMHvtjSm37OYnlS;6 7;UrbanSoccer Meudon-ChIJ0WKvjbh75kcRoqSmyWwW2jQ LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk UrbanSoccer Guyancourt-ChIJmdX-2c-A5kcRj1wtOS8rZmo
25/02/2024;20:00 20:30 21:00;9Vgygw0agfW8eTqoJ3tE;3 2 4;FOOT IN FIVE-ChIJoUR0syFp5kcRUlStnwluaYY BIG5-ChIJsb_7TJFp5kcRSPL5VqZulr4 Foot POWER 5-ChIJuTCIFshm5kcRBtEQJ76dAzc Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU Le Street Foot en Salle-ChIJt_AXL6Jg5kcRu6rBmnrmeUM Kaiser Park-ChIJsRLZzKFg5kcRBCfNws9nssw UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs LE FIVE Sarcelles-ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q GOPARK Pontoise-ChIJ2cJmdhf15kcRQ4mUOxIVzd0 LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo LE FIVE Marville - La Courneuve-ChIJ2dHdMZxr5kcR0aKYHYsp0pY
06/02/2024;18:00 19:00 18:30 19:30 20:00 20:30 21:00;9W66IekHI9GaR2NoBFYY;1 2 3 5 4;Footsal Cousinerie-ChIJXQyb1d8pw0cRLO_Ed5xHTIQ UrbanSoccer - Lille Lezennes-ChIJR3ro5nTWwkcRfM_S3Be9HjI Footsal-ChIJa7HS298pw0cRMoVDj0XqVdI Spot FUTSAL-ChIJwdUawmfVwkcRaNLo_CmNii0 UrbanSoccer - Lille Bondues-ChIJ58ZerMgrw0cR2Jyp7tZjBn4 KIPSTADIUM-ChIJydcoT88ow0cRLnHvlF-Z_jE Arena Club-ChIJeWJWRjYvw0cRbnJR4ZXAKMA
02/02/2024;10:00 9:00 14:00 15:00 16:00 17:00 11:00 18:00 9:30 10:30 14:30 15:30 16:30 17:30 18:30;9YZicW7IJQ1Fwtklnw8I;7 6;UrbanSoccer - Lyon Parilly-ChIJx3FQWjLC9EcRrrQb2eV7i_4 LE FIVE OL-ChIJmz3whejH9EcR3j9ApNRukKE Stade Sonny anderson-ChIJhwWrIsjr9EcRXzfmLKL7YT4 F5 Foot Five-ChIJjUbM5G7A9EcRW3mlkrhyXxY Groupama Stadium-ChIJpe_WHiLH9EcRwtLfRNh9iS8 We Are Sports-ChIJFZU5oBHC9EcRJTFrSkI1xxg
08/02/2024;9:00 9:30 10:00 10:30 11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30;9aRG4BH6ie0qky0a0A4r;1 2 3 4 5 7 6;LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg
06/02/2024;14:00 17:30 17:00 14:30 15:00 15:30 16:00 16:30 18:00 18:30 19:00 19:30;9aS6us5KDisK7QCrr9LI;5;UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8
02/02/2024;17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30;9bsrdaYW20iRUn0AIB33;6 7;LE FIVE Reims-ChIJad8c0qR16UcRMPDMaa34XJ8 Stade de Reims Champagne-ChIJXZFavld06UcR8kg0fAnfaDc
20/02/2024;19:00 19:30 20:00 20:30;9jZ7PHaoZL64OwZs7Hhz;1 2 3 4;LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo
12/02/2024;9:00 9:30 10:00 10:30 12:00 12:30 11:00 13:00 13:30 11:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:30 18:00 19:00 20:00 20:30 19:30 21:00 21:30;9k5wEv5DiDIqqPv3tT09;1 2 3 4 5 6 7;District Drôme-Ardèche de Football-ChIJ6z9ySUtY9UcRerXn9WsZ2DM Aureats Footindoor-ChIJZVNb4kJZ9UcRWeuEWo6PjkU Terrain de Football de Livron-sur-Drôme-ChIJBS163iFPtRIRqu0SIThobvQ Terrain de Football de Loriol-sur-Drôme-ChIJmyiexVVPtRIRDTxgLrkrzYg Power Soccer-ChIJx2v7w-9NtRIRnIFdG1Mf4w4 Squash et Foot Indoor-ChIJUWOoesNqtRIRAm3Xwm_D-ss FC Chabeuil-ChIJP2Js_TxV9UcR4R8lu77b3i8 Bourg Les Valence Futsal-ChIJkz6Ul4BZ9UcRi61lUI2eIng Terrain de Football-ChIJ76ekMWRX9UcR-dCTsrLM6Ek Entente Sportive Nord Drôme - ESND - Stade d'Albon-ChIJ5cUH96M59UcRl7tzppcCvyg Stade Gabriel Coullaud-ChIJlZeOPXlNtRIRWxrhPCtk47A
16/02/2024;18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30;9oQ7OhXCtJ7OUaCNRBqq;5;Sport dans la Ville Rhône-Alpes-ChIJoUEDcmvr9EcRILCz6hDCQ2o
28/02/2024;23:30 23:00 22:30 22:00 21:00 21:30 20:00 20:30 19:30 19:00 18:00 18:30 17:00 17:30 16:00 16:30 15:00 15:30 14:00 14:30;9r1q2JNG6474srW6bz1P;1 2 3 4 5;UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU FOOT IN FIVE-ChIJoUR0syFp5kcRUlStnwluaYY Élite 5 Soccer-ChIJ5-jfdlZk5kcRYIaELgvikaM UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU LE FIVE Marville - La Courneuve-ChIJ2dHdMZxr5kcR0aKYHYsp0pY LE FIVE Villette-ChIJTUFnQjps5kcR0pHITLTw1PI
