CREATED;TIMES;USER;WEEKDAYS;PLACES
20/03/2024;9:00 9:30 10:30 10:00 11:00 11:30 12:30 12:00 13:00 13:30 14:30 14:00 15:00;0REhrBExXx0jFB82y8rb;6;UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 UrbanSoccer Meudon-ChIJ0WKvjbh75kcRoqSmyWwW2jQ Foot POWER 5-ChIJuTCIFshm5kcRBtEQJ76dAzc
12/03/2024;18:00 19:00 20:00 12:00 13:00 14:00 15:00 16:00 17:00 10:00 11:00;0RWgoK2gran8V4xQ184Z;5 6;LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 LE FIVE Carrières-sous-Poissy-ChIJ9T4fWfyL5kcRCBX-FyZLvEE UrbanSoccer Guyancourt-ChIJmdX-2c-A5kcRj1wtOS8rZmo LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU GOPARK Pontoise-ChIJ2cJmdhf15kcRQ4mUOxIVzd0 LE FIVE Paris 13-ChIJ_bOSChhz5kcRZMTeq_6Gdzg Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU Foot POWER 5-ChIJuTCIFshm5kcRBtEQJ76dAzc UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs
19/03/2024;23:30 23:00 22:30 22:00 21:30 21:00 20:30 20:00;0Ueji7qbgHb4Lv940F2D;1 2 3 4 6 5 7;LE FIVE Bobigny-ChIJV8UONORs5kcRXxR5Qd7x130
03/03/2024;0,791666667;0V52eGr8XFpKcbA01iy1;7;B14 - Sports et Loisirs Indoor-ChIJaeLKMYXe5UcRHyWJ8X8FaPA UrbanSoccer Evry-ChIJW0Ut1G7e5UcRt621n2fRQ5M
15/02/2024;23:30 23:00 22:00 22:30 21:00 21:30 20:00 20:30 19:00 19:30 18:00 18:30 17:00 17:30 16:00 16:30 15:00 15:30 14:00 14:30 13:00 13:30 12:00 12:30 11:00 11:30 10:00 10:30 9:00 9:30;0WCW1wfp2N6BFz55Kklj;1 2 3 4 5 6 7;UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8
12/02/2024;13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 9:00 9:30 10:00 10:30 11:00 12:00 11:30 12:30;0f73xg0Th6QXUqYMQpqS;6;Stade Olympique Yves du Manoir-ChIJYeUIntpl5kcRZsN35flVVAY
08/02/2024;0,5;0fqNFlCJOu5LLuC2W24F;3;UrbanSoccer Meudon-ChIJ0WKvjbh75kcRoqSmyWwW2jQ
17/03/2024;12:00 12:30;0h2tDSteHzWA29eeOL7S;2 4;UrbanSoccer - Toulouse Montaudran-ChIJl772e0u8rhIR2foRX4Xa2CI
02/02/2024;0,708333333;0jDjMz30bG9MfX1A6WBs;4;LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU
01/03/2024;11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 10:00 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00;0jptK9MZR9JZAPbJxVOg;1 2 3 4 5 6 7;Massilia Foot Indoor 2-ChIJxZ6UmMW-yRIRfYNGGPPJfIU Le 13 - Foot en salle - Marseille-ChIJR62kUm_ByRIRDnGQqGCeUVQ STADIUM FOOT 5 VILLAGE-ChIJbbOWFtC4yRIR0WXVerbWmnE Le Mercato FOOT INDOOR-ChIJzRK7HJy_yRIRqEreyEiAfC0 Massilia Five-ChIJxZ6UmMW-yRIR7ot5DChYj4w MONCLUB 2.0-ChIJv9owGLm-yRIRfuDnd3G6nR4 FOOT INDOOR Marseille-ChIJ41AMCxC8yRIRLHLGt11sc-U Evolution Football-ChIJX0YulIi8yRIRnGh62u3UXTQ Game 13 foot indoor-ChIJNSDvlsXryRIRUXao9hwB79I Monclub Futbol-ChIJGbxxaamUyRIRgGvhHnhJStA LE FIVE Vitrolles-ChIJi4A-IrHoyRIRunoYLEGNeYI
