DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED
0H9cmZrw3CHBvVPLUGKu,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-01-23T14:00:00.000Z,90,8,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,10,0,0,0,0,0
0HYYaFddLdK15GZBWWPs,Parc Sainte Barbe,played,captain,ChIJtw301r5w5kcRvRjidiuAyaw,48.7922897&2.2913469,2024-02-01T12:00:00.000Z,120,,public,false,Détente,4,rzC8A0bd4afb9AWrHKlCPT9461y1,16,16,12,0,0,12,2
0JLl6YWydBCgCC5hUna4,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-01-31T19:45:00.000Z,60,15,public,true,Détente,3,ujrkM923ZkZfdxOxjC0wVMcRqxw1,10,10,1,0,0,0,3
0JeVkIRcoEhGQ7ZK67gF,Stade Jean Jaurès,canceled,captain,ChIJZeiwsidk5kcRfr4JxmBG86s,48.9370177&2.2250254,2024-01-25T12:00:00.000Z,120,,public,false,Compétition,4,9RsiW31iSGhaAT8kokv7pIP4bmU2,1,18,0,0,0,0,0
0KWLINTpYbTmKlLUIeyX,UrbanSoccer - Puteaux,played,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2024-01-25T11:00:00.000Z,60,11,public,true,Détente,3,WQ5S4tuh8AhHhITkAMce3yq8gRm2,10,10,9,0,0,0,1
0KdVGZV1jSWm23pw5UHC,Z5 Aix,played,captain,ChIJKb-U_9KSyRIRKIFKbH5mW18,43.4787869&5.3969048,2024-02-04T18:00:00.000Z,60,11,public,false,Détente,,XgMQLOLWkfdQq8BZDtEpH1cah8U2,10,10,3,0,0,0,0
0L7A0E8Q24uSVqU6MjN8,UrbanSoccer - Porte d'Aubervilliers,canceled,captain,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2024-01-30T19:15:00.000Z,45,12,public,true,Compétition,2,f4ONjQqLUCeKawfjjxJqtdoFLXd2,10,10,0,0,0,0,0
0LBNiGH2YSqSbL3SE5mC,"Plateau sportif Langevin, Gennevilliers",canceled,captain,ChIJufyQ7mpv5kcR-d-H3ZeTPb4,48.9278928&2.2874652,2024-02-01T17:45:00.000Z,60,,public,false,Compétition,,IPBsO07hSPQnWzruNVQADGFnN7F2,8,10,0,0,0,0,1
0MVet4rbUHaOX9sEF8hn,UrbanSoccer Meudon,played,captain,ChIJ0WKvjbh75kcRoqSmyWwW2jQ,48.80013599999999&2.2140811,2024-01-22T18:45:00.000Z,90,17.25,public,true,Détente,3,1aJ3GdfxKfcSFm478yjdpSaevVC3,10,10,3,0,0,0,0
0NYfjxth2KwFOLnpxABG,Footbox,published,pro,,48.9022789&2.582647,2024-02-19T19:00:00.000Z,60,10,public,false,,,QI89VPazyLhBVnWH871jk4BUEZI3,0,10,0,0,0,0,0
0PJK3jzjGNjHPxMgDrrZ,GOPARK INTERIEUR - Paintball et trampolines parc,canceled,captain,ChIJ2cJmdhf15kcRQ4mUOxIVzd0,49.045624&2.0799886,2024-02-11T18:30:00.000Z,60,11,public,false,Détente,2,76YZWwA4HoUFuVSt6tlq1D1B1tk2,10,10,0,0,0,0,0
0PqNmhh5wpiWPZwFbrPo,Speed Soccer Five,published,pro,,48.7360598&2.315058,2024-02-20T17:00:00.000Z,90,13,public,false,,,MkTJljXziPXBdRdijccndMLBNCC3,0,10,0,0,0,0,0
0QeiBUMrHZqM2opSgqF6,LE FIVE Montreuil,published,pro,,48.8613036&2.4653095,2024-03-07T16:00:00.000Z,90,11,public,false,,,u9uC1vjdcdQ3UqNxI0SiFxor0m43,0,10,0,0,0,0,0
0QfeJBS0C09sElzOHmKG,LE FIVE Bezons,played,captain,ChIJ71Mv0Wpk5kcRg-H9x7L-dXo,48.9190524&2.211796,2024-01-23T17:30:00.000Z,60,9.5,public,true,Détente,2,8iB2rcqkpbROpgXIBkJL6oo0JC33,10,10,3,0,0,0,2
0QvkvdIx6EyhFZqucZ8F,Foot POWER 5,canceled,pro,,48.960066&2.2061913,2024-01-31T17:00:00.000Z,90,5,public,false,,,sss3dYi6nzWd7rEjwcQ30LGKudj1,0,10,0,0,0,0,0
0RFUN2nGaUKa5sQGNo3V,UrbanSoccer La Défense,canceled,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-02-11T10:30:00.000Z,90,22,public,true,Détente,3,k1XbvCTSgfXeMHrDOPHgFuobMVn2,10,10,0,0,0,0,0
0S6hgvb7BFhxujwS53TM,Urban Football Meudon,played,captain,ChIJFeLBC2N75kcRyM1mlEZ3HjM,48.7983594&2.2102561,2024-02-08T19:00:00.000Z,90,16,public,false,Détente,3,Eky9dVVNQmbB9akUqXl9wI6eE282,14,14,1,0,0,0,3
0SB7PFqoQaQKPKM07D9n,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-02-04T16:00:00.000Z,90,21.75,public,true,Détente,4,AeNrPTSIaHTR3c3ZY28KcgcncPh2,10,10,1,0,0,0,1
0Tiv2PP4vxN4NmCeyRuF,UrbanSoccer - Quai d'Ivry,played,captain,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199885&2.3936463,2024-02-11T19:00:00.000Z,60,13,public,true,Détente,2,h4exM4xKJbPdmXxMDEtuLtjyhxl1,10,10,1,0,0,0,0
