DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,PRICE_UNDISCOUNTED,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED,PAYMENT_TYPE
Zuh2hgwGB1aXKhMVFeT7,Gymnase Paul-Langevin,played,captain,,48.9280971&2.2880415,2023-08-06T07:15:00.000Z,120,,,public,false,Détente,3,JbI2M4p4ZIeZDnd9mENWg2G7vlo1,12,12,0,0,0,0,1,on-site
ajH3o0ubCHKm7w9QZGXf,UrbanSoccer - Porte d'Aubervilliers,played,captain,,48.9074912&2.3746518,2023-08-06T12:00:00.000Z,60,12,,public,true,Détente,3,dRjds43XHxh1aOqDv4xtRSwoyWo2,10,10,0,0,0,0,0,on-site
c2OJGnU3swyEU65Lnrut,UrbanSoccer - Porte d'Aubervilliers,canceled,captain,,48.9074912&2.3746518,2023-08-06T12:00:00.000Z,60,12,,public,true,Détente,2,dRjds43XHxh1aOqDv4xtRSwoyWo2,7,10,0,0,0,0,2,on-site
OIJYKNvi44Ei9US53bI8,LE FIVE Créteil,published,captain,,48.7643086&2.4706522,2023-08-06T13:00:00.000Z,60,11,,public,true,Détente,2,CHseJUepnnQjvLKB6C66xTMvidJ2,9,10,0,0,0,0,0,on-site
FwknWdLeCQ5k20XVkqNg,UrbanSoccer - Quai d'Ivry,canceled,captain,,48.8199836&2.3936285,2023-08-06T13:30:00.000Z,60,,,public,true,Détente,3,iGPWgFQ3teRp4z6g1KobD1UW3iH3,7,10,0,0,0,0,0,on-site
70joO2Blkfewyp46DkLi,LE FIVE Montreuil,published,captain,,48.8613036&2.4653095,2023-08-06T15:00:00.000Z,60,5,,public,false,Compétition,5,PHZ4jOi1ZJYqMmqehAxKQHUsFIA3,5,10,0,0,0,0,1,on-site
4FAwdUbJHja9RLnKTRPI,UrbanSoccer - Puteaux,canceled,captain,,48.8836397&2.2312283,2023-08-06T16:00:00.000Z,90,21,,public,true,Détente,3,B663uC5ECoN4d85EleXOJy1On1d2,10,10,0,0,0,0,0,on-site
5PZpvk4zj3eCAP4XVdXA,UrbanSoccer - Quai d'Ivry,canceled,captain,,48.8199836&2.3936285,2023-08-06T16:00:00.000Z,60,14,,public,true,Détente,3,KN1H0bXnzZRs6X1hmKkiL0oHr5W2,10,10,0,0,0,0,1,on-site
9RqC1N46f0nmVvO5TBWU,UrbanSoccer - Puteaux,canceled,captain,,48.8836397&2.2312283,2023-08-06T16:00:00.000Z,90,21,,public,true,Détente,3,B663uC5ECoN4d85EleXOJy1On1d2,10,10,0,0,0,0,0,on-site
Ea6HaO5j7v5UHk0D0dGC,LE FIVE Carrières-sous-Poissy,played,captain,,48.9468144&2.0230574,2023-08-06T16:30:00.000Z,90,13,,public,false,Détente,3,kXjoYQjVuhdy50sggSRJ0jZmCLF2,10,10,0,0,0,0,4,on-site
